benchMark,Instrs_1,Instrs_2,Instrs_3,Instrs_4,Instrs_5,Time(s)_1,Time(s)_2,Time(s)_3,Time(s)_4,Time(s)_5,ICov(%)_1,ICov(%)_2,ICov(%)_3,ICov(%)_4,ICov(%)_5,BCov(%)_1,BCov(%)_2,BCov(%)_3,BCov(%)_4,BCov(%)_5,Mem(MB)_1,Mem(MB)_2,Mem(MB)_3,Mem(MB)_4,Mem(MB)_5,Completed_1,Completed_2,Completed_3,Completed_4,Completed_5
klee-out-id,1975606109,2077720125,2105065951,1985766876,1867242438,7220.85,7218.65,7218.5,7221.89,7222.84,36.15,36.29,36.15,36.27,36.27,25.64,26.01,25.64,25.86,25.95,103.1,103.08,105.44,104.7,100.05,290840.0,307147.0,291517.0,284751.0,269235.0
klee-out-tee,33258375,12975350,33258375,33258375,33258375,34.88,9.19,35.23,34.54,35.53,23.83,17.55,23.83,23.83,23.83,15.55,10.65,15.55,15.55,15.55,39.39,39.05,39.39,39.39,39.39,3290.0,575.0,3290.0,3290.0,3290.0
klee-out-df,4944463805,5042988608,4517896593,5127206294,4556411238,7202.4,7202.15,7202.75,7202.28,7202.64,25.05,25.05,25.05,25.05,25.05,17.7,17.7,17.7,17.7,17.7,83.93,83.93,83.93,83.92,83.94,18572.0,18572.0,18571.0,18572.0,18572.0
klee-out-hostid,2025674309,2042382436,2018396951,2035197867,2030703304,5975.43,6204.0,6346.48,6253.28,5645.52,33.75,33.75,33.75,33.75,33.75,24.93,24.93,24.93,24.93,24.93,46.39,46.42,46.43,46.41,46.32,207550.0,209237.0,206867.0,208545.0,208060.0
klee-out-sha224sum,417294539,794516538,817497465,794558465,784429498,3810.4,7215.42,7216.67,7316.06,7217.59,48.51,49.57,49.04,49.17,49.12,25.4,26.42,25.76,25.96,25.83,3828.1,602.18,601.32,609.34,586.34,,302257.0,297857.0,284741.0,285258.0
klee-out-sha512sum,395723107,38169238,38179248,38179248,38169238,7216.53,1117.04,1098.25,1111.01,1124.02,51.94,49.07,49.07,49.07,49.07,25.4,22.13,22.13,22.13,22.13,1065.05,838.16,838.23,838.1,838.19,191330.0,,,,
klee-out-nice,2112768993,2113026453,2123959362,2122052281,2111842274,4879.37,4167.92,4170.69,4221.61,4404.5,34.62,34.62,34.62,34.62,34.62,24.64,24.64,24.64,24.64,24.64,82.88,82.52,82.5,82.7,82.9,168836.0,168886.0,169783.0,169556.0,168825.0
klee-out-sync,1919837088,1945565168,1929269130,1960085045,1894059840,7223.06,7221.58,7225.99,7218.48,7218.85,32.26,32.26,32.26,32.26,32.92,23.95,23.95,23.95,23.95,24.44,149.31,148.06,148.36,146.19,146.28,385988.0,378265.0,387593.0,398367.0,397625.0
klee-out-getlimits,114557438,114557438,114557438,114557438,114557438,75.5,74.58,73.13,73.9,73.44,36.3,36.3,36.3,36.3,36.3,24.71,24.71,24.71,24.71,24.71,40.42,40.42,40.42,40.43,40.43,207.0,207.0,207.0,207.0,207.0
klee-out-cat,1080753717,1118967057,1057362696,1154196926,1124005146,7213.63,7212.97,7216.3,7211.18,7214.25,33.28,33.28,33.25,33.28,33.28,24.6,24.6,24.46,24.6,24.6,1022.5,1286.26,600.33,1375.49,1326.09,208327.0,231162.0,207932.0,245255.0,233470.0
klee-out-sha1sum,1257110853,1258737133,1256598030,1215774209,1164100497,7215.93,7216.62,7216.43,7216.39,7217.54,45.53,45.57,45.53,45.53,45.53,28.01,28.04,28.01,28.01,28.01,505.77,510.45,514.4,493.99,484.56,393004.0,395596.0,386133.0,380941.0,357478.0
klee-out-comm,880319298,880319298,880319298,880319298,880148165,7567.11,7459.22,7564.53,7516.85,7239.95,44.15,44.15,44.15,44.15,44.15,34.09,34.09,34.09,34.09,34.09,754.47,754.5,754.51,754.51,740.86,164722.0,164722.0,164722.0,164722.0,164707.0
klee-out-truncate,3006108592,13935151,2847158812,2911529017,2906624241,7215.76,9.25,7220.23,7214.57,7221.45,43.2,29.28,43.2,43.2,43.2,33.37,18.81,33.37,33.37,33.37,96.5,39.09,97.45,96.85,96.59,357948.0,426.0,347293.0,342372.0,344461.0
klee-out-nohup,3803010016,3803010016,3803010016,3803010016,3803010016,6747.67,6043.84,6233.87,6123.72,6343.96,32.77,32.77,32.77,32.77,32.77,23.95,23.95,23.95,23.95,23.95,100.01,99.56,99.92,99.83,100.06,311372.0,311372.0,311372.0,311372.0,311372.0
klee-out-base64,2373659341,2283944431,2543452161,2281569215,2293628215,7214.7,7217.5,7230.46,7216.47,7219.75,43.79,43.79,43.79,43.79,43.79,34.35,34.35,34.35,34.35,34.35,201.48,193.33,201.14,190.74,194.58,397663.0,403955.0,417184.0,395169.0,402728.0
klee-out-yes,7575910242,10391088,7565695190,7481354708,7109130140,7200.09,9.25,7200.04,7200.04,7200.09,18.35,18.35,18.35,18.35,18.35,10.81,10.81,10.81,10.81,10.81,36.05,35.52,36.05,36.05,36.05,8.0,6.0,8.0,8.0,8.0
klee-out-md5sum,775330338,852739038,874833125,878624656,825859255,7217.48,7217.16,7219.02,7218.53,7216.93,38.72,38.72,38.73,38.72,38.72,24.92,24.92,24.92,24.92,24.92,465.63,465.46,471.29,474.29,465.38,297135.0,325370.0,335763.0,341058.0,313041.0
klee-out-printenv,1995852821,1995852821,1995852821,1995852821,1995852821,3146.65,2629.31,2622.54,2647.96,2686.32,24.09,24.09,24.09,24.09,24.09,16.21,16.21,16.21,16.21,16.21,39.14,39.08,39.08,39.09,39.09,881144.0,881144.0,881144.0,881144.0,881144.0
klee-out-stat,2334124949,2317610084,1642332985,2298211630,1643216324,7221.72,6999.86,7227.34,7216.92,7220.81,29.54,29.76,29.76,29.59,29.44,19.35,19.6,19.6,19.39,19.22,80.73,337.03,62.58,80.77,65.84,319902.0,270204.0,297484.0,365945.0,407414.0
klee-out-cut,782388800,782388800,782388800,782388800,782388800,1066.03,1071.15,1072.93,1065.78,1077.13,31.53,31.53,31.53,31.53,31.53,22.34,22.34,22.34,22.34,22.34,76.76,76.76,76.74,76.77,76.75,75134.0,75134.0,75134.0,75134.0,75134.0
klee-out-true,2626838,2596574,2626838,2626838,2626838,2.17,2.15,2.19,2.19,2.28,18.64,18.64,18.64,18.64,18.64,11.5,11.5,11.5,11.5,11.5,34.68,34.68,34.68,34.68,34.68,200.0,200.0,200.0,200.0,200.0
klee-out-stty,1843460923,1794223412,1940814442,1802709962,1844221896,7220.79,7223.51,7221.99,7221.3,7220.41,41.41,41.25,41.99,41.95,41.98,32.22,32.16,32.62,32.43,32.65,127.3,128.94,129.69,122.27,128.45,424273.0,397602.0,449508.0,420110.0,432287.0
klee-out-fmt,231676998,230942245,210582223,213127721,222928510,807.68,793.6,762.53,728.07,770.25,23.86,23.86,23.86,23.86,23.86,16.23,16.23,16.23,16.23,16.23,86.25,88.54,87.38,88.06,85.99,86858.0,86426.0,81746.0,83687.0,85650.0
klee-out-join,2757587660,3084841773,3032521243,3064615846,2977328528,7214.01,7215.68,7214.71,7214.26,7218.11,34.32,34.34,34.32,34.33,34.32,26.48,26.54,26.48,26.51,26.45,274.91,334.17,328.78,327.27,286.93,374868.0,417708.0,405246.0,412376.0,420330.0
klee-out-sum,1099574667,1110408792,961161819,992515516,1008589990,7218.77,7217.28,7218.86,7219.25,7217.43,32.86,32.86,32.85,32.86,32.85,23.45,23.45,23.45,23.45,23.45,442.32,435.81,437.81,432.17,440.05,392456.0,383026.0,360187.0,363388.0,369443.0
klee-out-pathchk,1296402235,1442549169,1492881027,1502494160,1432813569,7209.41,7207.63,7207.4,7207.67,7379.06,38.55,38.55,38.55,38.55,38.55,29.48,29.48,29.48,29.48,29.48,1697.88,1989.69,1996.35,2009.84,1982.53,276144.0,288869.0,310209.0,311765.0,281063.0
klee-out-unexpand,1203475860,1152740,1263923279,1216212114,1204224001,7213.53,8.21,7213.63,7211.57,7297.44,38.02,30.72,38.02,38.02,38.02,28.9,22.08,28.9,28.9,28.9,762.0,45.41,785.92,773.97,782.79,282948.0,,305175.0,294622.0,277865.0
klee-out-numfmt,1718716460,1860638873,1959567354,1997127456,1726438617,7216.23,7219.59,7216.77,7216.76,7220.06,35.01,35.01,35.01,34.96,34.96,25.5,25.5,25.5,25.47,25.47,195.17,195.31,193.37,195.6,195.91,630488.0,631115.0,648601.0,623914.0,594813.0
klee-out-dircolors,2448104600,2611256953,2667993320,2678893595,2500563962,7214.08,7214.9,7212.08,7214.53,7215.43,44.49,44.34,44.64,44.32,44.44,34.62,34.49,34.94,34.43,34.56,244.67,245.35,251.01,247.1,242.94,602818.0,647095.0,650341.0,672472.0,621923.0
klee-out-dd,3165304528,3132430397,3268385912,2940224567,2922837273,7222.45,7220.97,7219.54,7223.5,7224.58,31.41,31.41,31.02,31.41,31.41,20.88,20.88,20.72,20.88,20.88,101.49,101.22,100.49,101.16,100.95,230728.0,228487.0,236341.0,215264.0,217418.0
klee-out-runcon,53044251,53044251,53044251,53044251,53044251,38.84,38.89,38.36,38.73,38.85,29.6,29.6,29.6,29.6,29.6,21.14,21.14,21.14,21.14,21.14,38.97,38.97,38.97,38.97,38.97,2319.0,2319.0,2319.0,2319.0,2319.0
klee-out-uname,1967074056,4065009,2320992565,2185797992,1985678390,5562.63,9.36,6584.83,6050.24,5812.65,32.34,29.12,33.13,32.34,32.34,22.98,19.78,23.47,22.98,22.98,44.42,39.8,45.96,46.07,45.73,205258.0,1824.0,240932.0,227099.0,207017.0
klee-out-touch,2254176257,2235882,2363565330,2233027110,2245897165,7219.35,8.9,7214.26,7223.21,7216.82,20.52,18.42,20.55,20.52,20.52,15.43,13.14,15.45,15.43,15.43,283.95,49.99,289.61,285.52,285.81,392617.0,326.0,429340.0,381575.0,385484.0
klee-out-head,1885104746,1852702721,1852216331,1859475466,1781329529,7216.4,7229.2,7221.79,7219.63,7220.39,31.78,29.56,29.56,31.77,29.56,24.13,22.1,22.1,24.1,22.1,126.49,124.62,54.12,125.96,53.49,301575.0,246665.0,262430.0,261902.0,226779.0
klee-out-ln,1951778689,2174964378,2199759378,2235866588,2097285812,7216.03,7220.83,7221.1,7217.18,7218.86,28.74,28.74,28.74,28.74,28.74,22.01,22.01,22.01,22.01,22.01,78.27,79.13,78.3,79.68,79.0,243418.0,324326.0,327439.0,335107.0,299639.0
klee-out-pwd,43897398,43897398,43897398,43897398,43897398,34.06,34.58,33.56,34.86,34.33,25.68,25.68,25.68,25.68,25.68,17.47,17.47,17.47,17.47,17.47,39.05,39.05,39.05,39.05,39.05,2103.0,2103.0,2103.0,2103.0,2103.0
klee-out-paste,1969709395,1964934895,1984727522,1967951906,1970184877,7209.03,6528.0,6677.89,6476.42,6276.25,41.0,41.0,41.0,41.0,41.0,31.41,31.41,31.41,31.41,31.41,52.06,51.08,52.13,51.33,51.38,247366.0,191350.0,193286.0,191641.0,191856.0
klee-out-split,2197888689,2491318587,3108162707,2562227455,3508000332,4037.96,4665.1,6133.63,4945.35,7210.01,34.42,34.42,34.64,34.42,34.46,25.63,25.63,25.77,25.63,25.77,9572.28,10625.06,4696.66,9611.36,1528.13,300580.0,309094.0,347554.0,321216.0,399965.0
klee-out-sort,3665912076,3629344939,3654726022,3639525716,3409032756,7203.49,7203.3,7203.14,7203.34,7203.26,23.2,23.2,23.2,23.2,23.2,16.77,16.77,16.77,16.77,16.77,135.15,136.2,138.39,136.54,137.24,437375.0,433007.0,435611.0,434210.0,407324.0
klee-out-pinky,3739977368,3739977368,3739977368,3739977368,3739977368,3504.19,3042.53,3038.24,3053.45,3100.62,24.39,24.39,24.39,24.39,24.39,16.67,16.67,16.67,16.67,16.67,41.36,41.31,41.31,41.31,41.31,102222.0,102222.0,102222.0,102222.0,102222.0
klee-out-groups,2077805166,2089139450,2149053332,1848301415,1820365698,7222.31,7220.63,7220.71,7224.31,7226.35,35.68,35.57,35.68,35.57,35.68,24.53,24.46,24.56,24.49,24.56,53.7,54.13,54.19,55.42,55.34,392633.0,392473.0,403482.0,347247.0,349490.0
klee-out-echo,46290990,46290990,46290990,46290990,46290990,38.64,39.03,38.37,38.76,38.13,21.47,21.47,21.47,21.47,21.47,14.22,14.22,14.22,14.22,14.22,37.93,37.93,37.93,37.93,37.93,7868.0,7868.0,7868.0,7868.0,7868.0
klee-out-make-prime-list,2932639,1073890,2932639,2932639,2932639,55.01,9.36,56.91,57.31,58.72,22.13,22.13,22.13,22.13,22.13,14.0,13.95,14.0,14.0,14.0,83.3,45.98,83.43,83.44,83.43,565.0,693.0,565.0,565.0,565.0
klee-out-users,338783742,7381823,338783742,338783742,338783742,421.74,8.63,427.63,433.59,441.12,37.16,32.4,37.16,37.16,37.16,26.85,22.37,26.85,26.85,26.85,43.17,56.29,43.2,43.19,43.18,31337.0,,31337.0,31337.0,31337.0
klee-out-logname,1621070136,1576168560,1572968031,1575092840,1574148002,4752.83,3638.96,3752.69,3949.56,3928.89,32.58,32.58,32.58,32.58,32.58,22.61,22.61,22.61,22.61,22.61,44.6,44.5,44.46,44.49,44.54,165590.0,161140.0,160852.0,161065.0,160977.0
klee-out-stdbuf,1157756646,1157756646,1157756646,1157756646,1157756646,1873.61,1897.14,1903.35,1891.0,1931.79,38.16,38.16,38.16,38.16,38.16,26.94,26.94,26.94,26.94,26.94,109.61,109.61,109.62,109.59,109.55,87029.0,87029.0,87029.0,87029.0,87029.0
klee-out-basename,181739891,181739891,181739891,181739891,181739891,301.46,302.09,298.51,301.83,303.83,33.99,33.99,33.99,33.99,33.99,24.25,24.25,24.25,24.25,24.25,50.91,50.91,50.9,50.89,50.88,19282.0,19282.0,19282.0,19282.0,19282.0
klee-out-unlink,497871071,2324858,497871071,497871071,497871071,698.69,8.59,702.91,713.78,711.48,34.82,29.65,34.82,34.82,34.82,26.18,21.39,26.18,26.18,26.18,51.46,45.24,51.46,51.48,51.49,45751.0,,45751.0,45751.0,45751.0
klee-out-pr,3861094431,4190456092,4124350036,4144585299,4138768312,7202.8,7202.67,7202.6,7202.62,7202.54,25.52,25.52,25.52,25.52,25.52,18.02,18.02,18.02,18.02,18.02,103.38,103.61,103.54,103.55,103.52,383556.0,412571.0,405905.0,408324.0,407132.0
klee-out-link,1672926015,1907324015,1892207955,1921478747,1811729556,7210.6,7211.43,7211.73,7211.87,7211.62,33.69,33.69,33.69,33.69,33.69,24.45,24.45,24.45,24.45,24.45,100.87,100.65,100.64,100.65,100.63,205280.0,236940.0,236133.0,237944.0,223357.0
klee-out-printf,1537983220,1537450137,1458859827,1465782916,1466693175,7216.01,7214.21,7217.79,7218.96,7219.53,34.95,34.95,34.93,34.95,34.95,28.22,28.22,28.19,28.22,28.22,766.75,750.31,722.36,713.91,722.37,306622.0,296218.0,292464.0,291643.0,304475.0
klee-out-sha384sum,408455085,397017344,390630814,388890569,209844284,7215.41,7215.35,7215.32,7215.78,4735.67,51.94,51.94,51.94,51.94,50.16,25.4,25.4,25.4,25.4,23.55,1055.84,1049.79,1052.47,1052.24,3976.44,196684.0,189784.0,195007.0,194140.0,
klee-out-chroot,3714971604,3942163999,3422647304,3998825057,3932300780,7202.25,7202.21,7206.72,7201.78,7201.38,42.68,42.68,42.68,42.68,42.68,33.26,33.26,33.26,33.26,33.26,128.34,148.72,112.25,157.35,156.53,296166.0,314377.0,294750.0,316968.0,308815.0
klee-out-kill,1359773596,1542055980,1504864838,1480795086,1439605303,7220.38,7220.9,7217.67,7223.97,7228.38,33.58,33.7,32.79,33.45,33.58,24.02,24.13,23.14,23.88,23.95,131.08,131.53,129.84,131.06,132.71,450874.0,570207.0,540434.0,519698.0,538685.0
